,Datetime,Text,retweets,likes
33,2020-06-06 11:26:52+00:00,"Awaiting the big announcement: To relax restrictions or relax some.

Continued lockdown is what the majority would certainly detest. But we cannot do things  magufuli way, this would be unacceptable.
Let's wait, the president is well informed. 
#UhuruDontLiftLockdown",0,1
34,2020-06-06 11:14:53+00:00,Ni urimu😣 #UhuruDontLiftLockdown,0,5
35,2020-06-06 11:07:50+00:00,"Grab yourself a fluffy mat at a discounted price 👌
Deliveries in all the four corners of +254 👌
Orders ~&gt;  0711 402 728

#UhuruDontLiftLockdown
#6thjune
#UhuruDONTOpen
#RutoTalaiRituals https://t.co/cDmxynz7Ok",0,1
36,2020-06-06 11:01:35+00:00,Please #UhuruDontLiftLockdown Because A few Lack Sex and Alcohol.. https://t.co/GzsvtNyin8,0,2
37,2020-06-06 10:39:44+00:00,"Tuko hapa Eastleigh tunagoja whistle. Uhuru usitudissapoint
#6thjune
#LockdownEnd
#Uhurustoughchoices
#lockdownextension
https://t.co/vquI16n7P5
#UhuruDontLiftLockdown",0,2
38,2020-06-06 10:32:23+00:00,"His excellency Uhuru should not put this nation at risk just because some few people miss alcohol and sex.... Let the curfew stay. 
#UhuruDontLiftLockdown",1,3
39,2020-06-06 10:29:19+00:00,Expecting lockdown and curfew to be lifted is stretching our wishes too far. We must stop asking for Mass graves. We cant handle the virus striking our villages. Let us be real. #UhuruDONTOpen #UhuruDontLiftLockdown,0,5
40,2020-06-06 10:21:07+00:00,"The debate between rich Kenyans and poverty stricken group on whether to open the country or not is getting heater. One group fearing death from hunger while others fearing Covid-19 to reach them through the poor.
#UhuruDontLiftLockdown
#June6th",1,2
41,2020-06-06 10:14:00+00:00,"No freedom, curfew continues
No body can stop reggae😂😂
Leo nikuwathigitha ki BBI
#UhuruDontLiftLockdown 
#UhuruDONTOpen 
#6thjune https://t.co/0QJS2ti5Hb",0,0
42,2020-06-06 10:13:31+00:00,"#UhuruDontLiftLockdown
Day 6
Date 6
Month 6
666 is it a lucky number???",0,0
43,2020-06-06 09:58:59+00:00,Uhuru anatuchelewesha bana. We got loads of shit to do between now and tomorrow 5:00am. Lift the curfew already. #UhuruDontLiftLockdown https://t.co/wwT37YekH5,1,2
44,2020-06-06 09:31:28+00:00,"In the last 1week,we have seen rising cases, I have said be4,that if we continue to behave normalee,this disease will treat us abnormalee, we have noted that some citizens hv continued to assume the guidelines given,there4 we recommend further...
#UhuruDontLiftLockdown 
#6thjune",0,2
45,2020-06-06 09:14:35+00:00,"#UhuruDontOpen
#UhuruDontLiftLockdown
#June6th
Eagerly waiting... https://t.co/E7my6bWIAI",0,1
46,2020-06-06 09:13:38+00:00,Mama ngina hakuamsha Jayden mapema #UhuruDontLiftLockdown,0,2
47,2020-06-06 08:58:21+00:00,"I wish we can wait for Christ with the same anxiety we're waiting for the President's report #UhuruDontLiftLockdown
#COVID19KE #June6th #UhuruKenyatta #wanjohi",0,5
48,2020-06-06 08:56:58+00:00,"“Uhuru should not put this nation at risk just because some few people miss alcohol and sex”~Rev Githu
#June6th #6thjune #UhuruDontLiftLockdown https://t.co/w5qL3PJMim",1,9
49,2020-06-06 08:38:35+00:00,Mr President  all factors considered  please  #UhuruDontLiftLockdown,0,2
50,2020-06-06 08:34:12+00:00,"Najua kuna watu wamepack mizigo gari zinanguruma ready to take off after the presidential address mtalia sana🤣🤣🤣🤣 

#UhuruDontLiftLockdown",0,3
51,2020-06-06 08:29:18+00:00,"During the address, if you hear Mr. President saying, ""...however fellow Kenyans...” zima TV and switch off your consumer switch.

#UhuruDontLiftLockdown",1,3
52,2020-06-06 08:21:48+00:00,#UhuruDontLiftLockdown https://t.co/GclNzdtlHr,1,2
53,2020-06-06 08:17:45+00:00,"Good morning mighty son of the gikuyu ,on behalf of ferro kenyans im hoping you had an awesome night , good day ahead see you at 11:30am
#UhuruDontLiftLockdown
#June6th",0,2
54,2020-06-06 08:02:45+00:00,"Two sickening hashtags 🤒
#UhuruDontLiftLockdown &amp; #RutoTalaiRituals",0,1
55,2020-06-06 07:58:13+00:00,"Leo ukiskia after speech ya Uhunye ""however, fellow Kenyans"" zima TV #UhuruDontLiftLockdown",0,2
56,2020-06-06 07:57:20+00:00,"As you might be aware, our duty calls for direct engagement with @KRACare some tasks involves tedious ledge reconciliation. This has not been made better by your i don’t care attitude #June6th #UhuruDontLiftLockdown @ICPAK_Kenya",0,0
57,2020-06-06 07:54:56+00:00,How Kenyans will be looking at Uhuru as he speaks today#UhuruDontLiftLockdown https://t.co/r5eBfTNotO,0,1
58,2020-06-06 07:40:04+00:00,#UhuruDontLiftLockdown,0,0
59,2020-06-06 07:28:21+00:00,Key Word today *HOWEVER* #June6th #UhuruDontLiftLockdown,0,2
60,2020-06-06 07:26:34+00:00,Lakini Mungu ni nani? Tanzania wako na Maghufuli na wamefunguliwa..... sisi Huku tuko na Uhuru na Tumefungiwa    #June6th  #UhuruDontLiftLockdown,0,6
61,2020-06-06 07:25:36+00:00,Me nataka asali si kifuniko😂😂😂😂 #UhuruDontLiftLockdown https://t.co/Uy3VSBb1GV,0,3
62,2020-06-06 07:24:05+00:00,"Will you live under restrictions even if Uhuru extends the partial lockdown?
#UhuruDontLiftLockdown #6thjune",2,4
63,2020-06-06 07:17:36+00:00,"Just In 
His Excellency the president will address the Nation at 11:15AM today.
#June6th 
#UhuruDontLiftLockdown 
#6thjune https://t.co/J5amPrhYfs",0,1
64,2020-06-06 06:45:20+00:00,"#RutoTalaiRituals
#June6th #6thjune #UhuruDontLiftLockdown 
All the titles being worn by President #UhuruKenyatta right now. https://t.co/VpP9tV24DZ",0,4
65,2020-06-06 06:38:33+00:00,"Reopening the economy does not necessarily mean opening clubs or ending the curfew. I think county boarders will be opened, curfew will continue, clubs will be closed. God bless Kenya
#UhuruDontLiftLockdown
#June6th 
#6thjune 
#JusticeForGeorgeFloyd 
#babygate",4,5
66,2020-06-06 06:24:19+00:00,"I woder why Kenyans are so excited about opening up the country, this shit could turn out disastrous #June6th #6thjune #Uhurustoughchoices #UhuruDontOpen #UhuruDontLiftLockdown https://t.co/Z9vNxO4mHl",0,1
67,2020-06-06 06:22:18+00:00,Save us from bulls@@@ #UhuruDontLiftLockdown https://t.co/Y89OxjXTP6,0,0
